class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Sink,SY_excess,SY_bus_el,SY_excess,,,,,,,,0.00000001,,,,,,,,,
Source,SY_shortage,SY_shortage,SY_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,SY_pp_hard_coal_0,GL_bus_hard_coal,SY_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,SY_pp_hard_coal_0,SY_pp_hard_coal_0,SY_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,SY_pp_biomass,SY_pp_biomass,SY_bus_el,,1E-16,,,,0.85,,,True,,,,,,,,
Source,SY_wind,SY_wind,SY_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,SY_solar,SY_solar,SY_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,SY_run_of_river,SY_run_of_river,SY_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,SY_storage_phs,SY_bus_el,SY_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,SY_storage_phs,SY_storage_phs,SY_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,SY_load,SY_bus_el,SY_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### IQ - Electric neighbour Iraq,,,,,,,,,,,,,,,,,,,,
Sink,IQ_excess,IQ_bus_el,IQ_excess,,,,,,,,0.00000001,,,,,,,,,
Source,IQ_shortage,IQ_shortage,IQ_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,IQ_pp_uranium,GL_bus_uranium,IQ_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_uranium,IQ_pp_uranium,IQ_bus_el,0.325,1E-16,,0.85,,,1E-10,0.5,,,,,,,,,
LinearTransformer,IQ_pp_lignite,GL_bus_lignite,IQ_pp_lignite,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_lignite,IQ_pp_lignite,IQ_bus_el,0.38,1E-16,,0.85,,,1E-10,4.4,,,,,,,,,
LinearTransformer,IQ_pp_hard_coal_0,GL_bus_hard_coal,IQ_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_hard_coal_0,IQ_pp_hard_coal_0,IQ_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
LinearTransformer,IQ_pp_gas,GL_bus_gas,IQ_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_gas,IQ_pp_gas,IQ_bus_el,0.425,1E-16,,0.85,,,1E-10,2,,,,,,,,,
LinearTransformer,IQ_pp_oil,GL_bus_oil,IQ_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_oil,IQ_pp_oil,IQ_bus_el,0.34,1E-16,,0.85,,,1E-10,1.5,,,,,,,,,
LinearTransformer,IQ_pp_mixed_fuels,GL_bus_mixed_fuels,IQ_pp_mixed_fuels,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_mixed_fuels,IQ_pp_mixed_fuels,IQ_bus_el,0.26,1E-16,,0.85,,,1E-10,23,,,,,,,,,
LinearTransformer,IQ_pp_biomass,GL_bus_biomass,IQ_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,IQ_pp_biomass,IQ_pp_biomass,IQ_bus_el,0.38,1E-16,,0.85,,,1E-10,3.9,,,,,,,,,
Source,IQ_wind,IQ_wind,IQ_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IQ_solar,IQ_solar,IQ_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IQ_run_of_river,IQ_run_of_river,IQ_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,IQ_storage_phs,IQ_bus_el,IQ_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,IQ_storage_phs,IQ_storage_phs,IQ_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,IQ_load,IQ_bus_el,IQ_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### SA - Electric neighbour Saudia Arabia,,,,,,,,,,,,,,,,,,,,
Sink,SA_excess,SA_bus_el,SA_excess,,,,,,,,0.00000001,,,,,,,,,
Source,SA_shortage,SA_shortage,SA_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,SA_pp_hard_coal_0,GL_bus_hard_coal,SA_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,SA_pp_hard_coal_0,SA_pp_hard_coal_0,SA_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,SA_pp_biomass,SA_pp_biomass,SA_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,SA_wind,SA_wind,SA_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,SA_solar,SA_solar,SA_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,SA_run_of_river,SA_run_of_river,SA_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,SA_storage_phs,SA_bus_el,SA_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,SA_storage_phs,SA_storage_phs,SA_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,SA_load,SA_bus_el,SA_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### EG - Electric neighbour Egypt,,,,,,,,,,,,,,,,,,,,
Sink,EG_excess,EG_bus_el,EG_excess,,,,,,,,0.00000001,,,,,,,,,
Source,EG_shortage,EG_shortage,EG_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,EG_pp_hard_coal_0,GL_bus_hard_coal,EG_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,EG_pp_hard_coal_0,EG_pp_hard_coal_0,EG_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,EG_pp_biomass,EG_pp_biomass,EG_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,EG_wind,EG_wind,EG_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,EG_solar,EG_solar,EG_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,EG_run_of_river,EG_run_of_river,EG_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,EG_storage_phs,EG_bus_el,EG_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,EG_storage_phs,EG_storage_phs,EG_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,EG_load,EG_bus_el,EG_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### IL- Electric neighbour Israel,,,,,,,,,,,,,,,,,,,,
Sink,IL_excess,IL_bus_el,IL_excess,,,,,,,,0.00000001,,,,,,,,,
Source,IL_shortage,IL_shortage,IL_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,IL_pp_hard_coal_0,GL_bus_hard_coal,IL_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,IL_pp_hard_coal_0,IL_pp_hard_coal_0,IL_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,IL_pp_biomass,IL_pp_biomass,IL_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,IL_wind,IL_wind,IL_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IL_solar,IL_solar,IL_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IL_run_of_river,IL_run_of_river,IL_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,IL_storage_phs,IL_bus_el,IL_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,IL_storage_phs,IL_storage_phs,IL_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,IL_load,IL_bus_el,IL_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### WB - Electric neighbour West Bank,,,,,,,,,,,,,,,,,,,,
Sink,WB_excess,WB_bus_el,WB_excess,,,,,,,,0.00000001,,,,,,,,,
Source,WB_shortage,WB_shortage,WB_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,WB_pp_hard_coal_0,GL_bus_hard_coal,WB_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,WB_pp_hard_coal_0,WB_pp_hard_coal_0,WB_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,WB_pp_biomass,WB_pp_biomass,WB_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,WB_wind,WB_wind,WB_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,WB_solar,WB_solar,WB_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,WB_run_of_river,WB_run_of_river,WB_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,WB_storage_phs,WB_bus_el,WB_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,WB_storage_phs,WB_storage_phs,WB_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,WB_load,WB_bus_el,WB_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_JOdr02_powerline,JOdr01_bus_el,JOdr01_JOdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_JOdr02_powerline,JOdr01_JOdr02_powerline,JOdr02_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,JOdr02_JOdr01_powerline,JOdr02_bus_el,JOdr02_JOdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr02_JOdr01_powerline,JOdr02_JOdr01_powerline,JOdr01_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_JOdr03_powerline,JOdr01_bus_el,JOdr01_JOdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_JOdr03_powerline,JOdr01_JOdr03_powerline,JOdr03_bus_el,0.97,99999,,,,,,,,,,,,,,,
