class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_MAdr02_powerline,MAdr01_bus_el,MAdr01_MAdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_MAdr02_powerline,MAdr01_MAdr02_powerline,MAdr02_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_MAdr01_powerline,MAdr02_bus_el,MAdr02_MAdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_MAdr01_powerline,MAdr02_MAdr01_powerline,MAdr01_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_MAdr03_powerline,MAdr02_bus_el,MAdr02_MAdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_MAdr03_powerline,MAdr02_MAdr03_powerline,MAdr03_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_MAdr02_powerline,MAdr03_bus_el,MAdr03_MAdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_MAdr02_powerline,MAdr03_MAdr02_powerline,MAdr02_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_MAdr04_powerline,MAdr03_bus_el,MAdr03_MAdr04_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_MAdr04_powerline,MAdr03_MAdr04_powerline,MAdr04_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_MAdr03_powerline,MAdr04_bus_el,MAdr04_MAdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_MAdr03_powerline,MAdr04_MAdr03_powerline,MAdr03_bus_el,0.97,99999,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_ES_powerline,MAdr01_bus_el,MAdr01_ES_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_ES_powerline,MAdr01_ES_powerline,ES_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr01_powerline,ES_bus_el,ES_MAdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr01_powerline,ES_MAdr01_powerline,MAdr01_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_PT_powerline,MAdr01_bus_el,MAdr01_PT_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_PT_powerline,MAdr01_PT_powerline,MA_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr01_powerline,PT_bus_el,PT_MAdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr01_powerline,PT_MAdr01_powerline,MAdr01_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_ES_powerline,MAdr02_bus_el,MAdr02_ES_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_ES_powerline,MAdr02_ES_powerline,ES_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr02_powerline,ES_bus_el,ES_MAdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr02_powerline,ES_MAdr02_powerline,MAdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_PT_powerline,MAdr02_bus_el,MAdr02_PT_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr02_PT_powerline,MAdr02_PT_powerline,PT_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr02_powerline,PT_bus_el,PT_MAdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr02_powerline,PT_MAdr02_powerline,MAdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_ES_powerline,MAdr03_bus_el,MAdr03_ES_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_ES_powerline,MAdr03_ES_powerline,ES_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr03_powerline,ES_bus_el,ES_MAdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,ES_MAdr03_powerline,ES_MAdr03_powerline,MAdr03_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_PT_powerline,MAdr03_bus_el,MAdr03_PT_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_PT_powerline,MAdr03_PT_powerline,PT_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr03_powerline,PT_bus_el,PT_MAdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,PT_MAdr03_powerline,PT_MAdr03_powerline,MAdr03_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_AL_powerline,MAdr03_bus_el,MAdr03_AL_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_AL_powerline,MAdr03_AL_powerline,AL_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,AL_MAdr03_powerline,AL_bus_el,AL_MAdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,AL_MAdr03_powerline,AL_MAdr03_powerline,MAdr03_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_AL_powerline,MAdr04_bus_el,MAdr04_AL_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_AL_powerline,MAdr04_AL_powerline,AL_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
